pitcher_name,country,game_date,pitch_type,pitch_name,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,p_throws,stand,balls,strikes,description
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.0,2918.0,1.31,-0.95,0.0269571026468662,0.9475964566572772,R,L,1,1,ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.3,2769.0,0.95,-0.86,-0.1666799308282708,0.7671779617179415,R,L,0,1,ball
Zack Wheeler,USA,2025-08-15,FC,Cutter,91.6,2458.0,-0.06,0.75,-0.1701079330376516,3.209614500967141,R,L,0,0,called_strike
Zack Wheeler,USA,2025-08-15,SI,Sinker,94.5,2269.0,-1.4,0.54,-0.2531689009225559,2.001894712184747,R,R,1,0,hit_into_play
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.1,2673.0,1.37,0.35,1.2826055422953808,1.170591926277413,R,R,0,0,ball
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,88.6,1569.0,-1.16,0.2,0.0764451523505684,2.0874831381298047,R,L,3,2,hit_into_play
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.7,2493.0,-0.87,1.4,0.3412215181999347,2.7413907266237283,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.7,2415.0,-0.8,1.21,-0.600540477126502,3.534488844795793,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,ST,Sweeper,84.0,2615.0,0.82,0.26,-0.0604399440213367,2.3828783630633814,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.2,2348.0,-1.03,1.09,-0.4147827868691901,3.91428892581556,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.0,2441.0,-1.25,1.05,0.2202205698049775,3.473047670158868,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,87.5,1516.0,-1.12,-0.34,0.8771405181032688,0.5100225198247754,R,L,2,2,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.2,2454.0,-0.97,1.09,0.4223731946633211,3.528550619150888,R,L,2,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,94.5,2415.0,-1.02,1.13,-0.4215470057768824,4.571958017954587,R,L,1,2,ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,81.8,2736.0,0.96,-0.68,0.737814870975406,1.3237767591727925,R,L,0,2,ball
Zack Wheeler,USA,2025-08-15,FC,Cutter,92.9,2704.0,-0.11,0.81,0.8801974342249552,3.537940868891147,R,L,0,1,foul
